COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
LASSEN,2018,Child vs. adult,18+ years,18+ years,88,35.5
LOS ANGELES,2018,Child vs. adult,18+ years,18+ years,28932,36.6
MADERA,2018,Child vs. adult,18+ years,18+ years,327,28.5
MARIN,2018,Child vs. adult,18+ years,18+ years,415,20.8
MARIPOSA,2018,Child vs. adult,18+ years,18+ years,56,49.1
MENDOCINO,2018,Child vs. adult,18+ years,18+ years,354,56.3
MERCED,2018,Child vs. adult,18+ years,18+ years,1033,51.4
MODOC,2018,Child vs. adult,18+ years,18+ years,53,82.6
MONO,2018,Child vs. adult,18+ years,18+ years,47,51.4
MONTEREY,2018,Child vs. adult,18+ years,18+ years,1045,31.9
NAPA,2018,Child vs. adult,18+ years,18+ years,354,31.4
NEVADA,2018,Child vs. adult,18+ years,18+ years,168,23.9
ORANGE,2018,Child vs. adult,18+ years,18+ years,5076,20.6
PLACER,2018,Child vs. adult,18+ years,18+ years,845,29.9
PLUMAS,2018,Child vs. adult,18+ years,18+ years,64,49.2
RIVERSIDE,2018,Child vs. adult,18+ years,18+ years,5626,31.7
SACRAMENTO,2018,Child vs. adult,18+ years,18+ years,6809,59.6
SAN BENITO,2018,Child vs. adult,18+ years,18+ years,210,49.7
SAN BERNARDINO,2018,Child vs. adult,18+ years,18+ years,6537,40.9
SAN DIEGO,2018,Child vs. adult,18+ years,18+ years,5792,23.2
SAN FRANCISCO,2018,Child vs. adult,18+ years,18+ years,1932,26.1
SAN JOAQUIN,2018,Child vs. adult,18+ years,18+ years,3041,55.8
SAN LUIS OBISPO,2018,Child vs. adult,18+ years,18+ years,494,24.3
SAN MATEO,2018,Child vs. adult,18+ years,18+ years,1391,22.9
SANTA BARBARA,2018,Child vs. adult,18+ years,18+ years,780,22.4
SANTA CLARA,2018,Child vs. adult,18+ years,18+ years,3595,23.9
SANTA CRUZ,2018,Child vs. adult,18+ years,18+ years,513,25.4
SHASTA,2018,Child vs. adult,18+ years,18+ years,428,35.3
SIERRA,2018,Child vs. adult,18+ years,18+ years,NA,NA
SISKIYOU,2018,Child vs. adult,18+ years,18+ years,105,32.7
SOLANO,2018,Child vs. adult,18+ years,18+ years,2332,71.6
SONOMA,2018,Child vs. adult,18+ years,18+ years,1280,33.6
STANISLAUS,2018,Child vs. adult,18+ years,18+ years,1830,45.6
SUTTER,2018,Child vs. adult,18+ years,18+ years,187,25.7
TEHAMA,2018,Child vs. adult,18+ years,18+ years,193,43.5
TRINITY,2018,Child vs. adult,18+ years,18+ years,36,45.3
TULARE,2018,Child vs. adult,18+ years,18+ years,817,24.4
TUOLUMNE,2018,Child vs. adult,18+ years,18+ years,173,44.6
VENTURA,2018,Child vs. adult,18+ years,18+ years,1523,24.2
YOLO,2018,Child vs. adult,18+ years,18+ years,544,34.5
YUBA,2018,Child vs. adult,18+ years,18+ years,227,40.8
CALIFORNIA,2018,Age groups,0–4 years,0–4 years,19245,77.9
ALAMEDA,2018,Age groups,0–4 years,0–4 years,885,91
ALPINE,2018,Age groups,0–4 years,0–4 years,0,0
AMADOR,2018,Age groups,0–4 years,0–4 years,NA,NA
BUTTE,2018,Age groups,0–4 years,0–4 years,74,60.2
CALAVERAS,2018,Age groups,0–4 years,0–4 years,15,82.3
COLUSA,2018,Age groups,0–4 years,0–4 years,18,116.2
CONTRA COSTA,2018,Age groups,0–4 years,0–4 years,577,90.2
DEL NORTE,2018,Age groups,0–4 years,0–4 years,NA,NA
EL DORADO,2018,Age groups,0–4 years,0–4 years,32,40.4
FRESNO,2018,Age groups,0–4 years,0–4 years,1421,184
GLENN,2018,Age groups,0–4 years,0–4 years,NA,NA
HUMBOLDT,2018,Age groups,0–4 years,0–4 years,44,58.5
IMPERIAL,2018,Age groups,0–4 years,0–4 years,121,73.9
INYO,2018,Age groups,0–4 years,0–4 years,NA,NA
KERN,2018,Age groups,0–4 years,0–4 years,622,89.7
KINGS,2018,Age groups,0–4 years,0–4 years,113,98.6
LAKE,2018,Age groups,0–4 years,0–4 years,29,78.1
LASSEN,2018,Age groups,0–4 years,0–4 years,NA,NA
LOS ANGELES,2018,Age groups,0–4 years,0–4 years,5488,88.5
MADERA,2018,Age groups,0–4 years,0–4 years,203,180.1
MARIN,2018,Age groups,0–4 years,0–4 years,61,52.5
MARIPOSA,2018,Age groups,0–4 years,0–4 years,NA,NA
MENDOCINO,2018,Age groups,0–4 years,0–4 years,46,90.6
MERCED,2018,Age groups,0–4 years,0–4 years,226,109.2
MODOC,2018,Age groups,0–4 years,0–4 years,NA,NA
MONO,2018,Age groups,0–4 years,0–4 years,NA,NA
MONTEREY,2018,Age groups,0–4 years,0–4 years,154,49.1
NAPA,2018,Age groups,0–4 years,0–4 years,53,72.9
NEVADA,2018,Age groups,0–4 years,0–4 years,13,31.4
ORANGE,2018,Age groups,0–4 years,0–4 years,1048,55.3
PLACER,2018,Age groups,0–4 years,0–4 years,109,58.5
PLUMAS,2018,Age groups,0–4 years,0–4 years,NA,NA
RIVERSIDE,2018,Age groups,0–4 years,0–4 years,954,61.3
SACRAMENTO,2018,Age groups,0–4 years,0–4 years,838,85.3
SAN BENITO,2018,Age groups,0–4 years,0–4 years,25,68.3
SAN BERNARDINO,2018,Age groups,0–4 years,0–4 years,1157,75.9
SAN DIEGO,2018,Age groups,0–4 years,0–4 years,1421,63.8
SAN FRANCISCO,2018,Age groups,0–4 years,0–4 years,445,102.4
SAN JOAQUIN,2018,Age groups,0–4 years,0–4 years,397,76.5
SAN LUIS OBISPO,2018,Age groups,0–4 years,0–4 years,78,59.2
SAN MATEO,2018,Age groups,0–4 years,0–4 years,240,54.3
SANTA BARBARA,2018,Age groups,0–4 years,0–4 years,106,37.4
SANTA CLARA,2018,Age groups,0–4 years,0–4 years,513,42.9
SANTA CRUZ,2018,Age groups,0–4 years,0–4 years,74,48.5
SHASTA,2018,Age groups,0–4 years,0–4 years,66,65.8
SIERRA,2018,Age groups,0–4 years,0–4 years,NA,NA
SISKIYOU,2018,Age groups,0–4 years,0–4 years,11,NA
SOLANO,2018,Age groups,0–4 years,0–4 years,273,103.3
SONOMA,2018,Age groups,0–4 years,0–4 years,160,63.6
STANISLAUS,2018,Age groups,0–4 years,0–4 years,298,76.9
SUTTER,2018,Age groups,0–4 years,0–4 years,21,31.4
TEHAMA,2018,Age groups,0–4 years,0–4 years,33,75.3
TRINITY,2018,Age groups,0–4 years,0–4 years,NA,NA
TULARE,2018,Age groups,0–4 years,0–4 years,314,84.3
TUOLUMNE,2018,Age groups,0–4 years,0–4 years,12,53.7
VENTURA,2018,Age groups,0–4 years,0–4 years,265,52.3
YOLO,2018,Age groups,0–4 years,0–4 years,84,66.7
YUBA,2018,Age groups,0–4 years,0–4 years,27,46.2
CALIFORNIA,2018,Age groups,5–17 years,5–17 years,40508,59.9
ALAMEDA,2018,Age groups,5–17 years,5–17 years,1667,65.9
ALPINE,2018,Age groups,5–17 years,5–17 years,0,0
AMADOR,2018,Age groups,5–17 years,5–17 years,25,60.9
BUTTE,2018,Age groups,5–17 years,5–17 years,127,38.1
CALAVERAS,2018,Age groups,5–17 years,5–17 years,35,66.3
COLUSA,2018,Age groups,5–17 years,5–17 years,32,72.6
CONTRA COSTA,2018,Age groups,5–17 years,5–17 years,1347,73.5
DEL NORTE,2018,Age groups,5–17 years,5–17 years,36,85.2
EL DORADO,2018,Age groups,5–17 years,5–17 years,99,37.2
FRESNO,2018,Age groups,5–17 years,5–17 years,2266,109.7
GLENN,2018,Age groups,5–17 years,5–17 years,23,41.8
HUMBOLDT,2018,Age groups,5–17 years,5–17 years,94,44.7
IMPERIAL,2018,Age groups,5–17 years,5–17 years,476,121.2
INYO,2018,Age groups,5–17 years,5–17 years,18,65.4
KERN,2018,Age groups,5–17 years,5–17 years,1287,68.7
KINGS,2018,Age groups,5–17 years,5–17 years,255,72.9
LAKE,2018,Age groups,5–17 years,5–17 years,84,84.5
LASSEN,2018,Age groups,5–17 years,5–17 years,18,46.4
LOS ANGELES,2018,Age groups,5–17 years,5–17 years,12309,73.5
MADERA,2018,Age groups,5–17 years,5–17 years,283,91.8
MARIN,2018,Age groups,5–17 years,5–17 years,107,27.7
MARIPOSA,2018,Age groups,5–17 years,5–17 years,NA,NA
MENDOCINO,2018,Age groups,5–17 years,5–17 years,107,75.9
MERCED,2018,Age groups,5–17 years,5–17 years,450,75.8
MODOC,2018,Age groups,5–17 years,5–17 years,25,180
MONO,2018,Age groups,5–17 years,5–17 years,13,62.8
MONTEREY,2018,Age groups,5–17 years,5–17 years,416,49
NAPA,2018,Age groups,5–17 years,5–17 years,104,48.3
NEVADA,2018,Age groups,5–17 years,5–17 years,38,33
ORANGE,2018,Age groups,5–17 years,5–17 years,2059,39
PLACER,2018,Age groups,5–17 years,5–17 years,200,35.8
PLUMAS,2018,Age groups,5–17 years,5–17 years,20,87.3
RIVERSIDE,2018,Age groups,5–17 years,5–17 years,2355,53.5
SACRAMENTO,2018,Age groups,5–17 years,5–17 years,2009,76
SAN BENITO,2018,Age groups,5–17 years,5–17 years,83,79.9
SAN BERNARDINO,2018,Age groups,5–17 years,5–17 years,2649,62.4
SAN DIEGO,2018,Age groups,5–17 years,5–17 years,2223,37.6
SAN FRANCISCO,2018,Age groups,5–17 years,5–17 years,482,51.4
SAN JOAQUIN,2018,Age groups,5–17 years,5–17 years,1089,73
SAN LUIS OBISPO,2018,Age groups,5–17 years,5–17 years,121,32.5
SAN MATEO,2018,Age groups,5–17 years,5–17 years,420,35.5
SANTA BARBARA,2018,Age groups,5–17 years,5–17 years,327,44.1
SANTA CLARA,2018,Age groups,5–17 years,5–17 years,987,29.9
SANTA CRUZ,2018,Age groups,5–17 years,5–17 years,138,30.4
SHASTA,2018,Age groups,5–17 years,5–17 years,114,41.4
SIERRA,2018,Age groups,5–17 years,5–17 years,NA,NA
SISKIYOU,2018,Age groups,5–17 years,5–17 years,22,34.6
SOLANO,2018,Age groups,5–17 years,5–17 years,749,102.3
SONOMA,2018,Age groups,5–17 years,5–17 years,330,46
STANISLAUS,2018,Age groups,5–17 years,5–17 years,776,72.4
SUTTER,2018,Age groups,5–17 years,5–17 years,83,46.1
TEHAMA,2018,Age groups,5–17 years,5–17 years,62,55.7
TRINITY,2018,Age groups,5–17 years,5–17 years,11,NA
TULARE,2018,Age groups,5–17 years,5–17 years,469,43.8
TUOLUMNE,2018,Age groups,5–17 years,5–17 years,35,56.3
VENTURA,2018,Age groups,5–17 years,5–17 years,681,47
YOLO,2018,Age groups,5–17 years,5–17 years,179,46.3
YUBA,2018,Age groups,5–17 years,5–17 years,79,50.3
CALIFORNIA,2018,Age groups,18–64 years,18–64 years,91324,37.3
ALAMEDA,2018,Age groups,18–64 years,18–64 years,4508,42.2
ALPINE,2018,Age groups,18–64 years,18–64 years,NA,NA
AMADOR,2018,Age groups,18–64 years,18–64 years,84,42.4
BUTTE,2018,Age groups,18–64 years,18–64 years,629,46.5
CALAVERAS,2018,Age groups,18–64 years,18–64 years,120,52.8
COLUSA,2018,Age groups,18–64 years,18–64 years,59,46
CONTRA COSTA,2018,Age groups,18–64 years,18–64 years,3536,51.6
DEL NORTE,2018,Age groups,18–64 years,18–64 years,85,53.2
EL DORADO,2018,Age groups,18–64 years,18–64 years,363,35.9
FRESNO,2018,Age groups,18–64 years,18–64 years,2845,47.7
GLENN,2018,Age groups,18–64 years,18–64 years,61,37
HUMBOLDT,2018,Age groups,18–64 years,18–64 years,491,61.4
IMPERIAL,2018,Age groups,18–64 years,18–64 years,481,43.1
INYO,2018,Age groups,18–64 years,18–64 years,48,48.9
KERN,2018,Age groups,18–64 years,18–64 years,2212,40.4
KINGS,2018,Age groups,18–64 years,18–64 years,428,48.8
LAKE,2018,Age groups,18–64 years,18–64 years,338,99.1
LASSEN,2018,Age groups,18–64 years,18–64 years,77,38.7
LOS ANGELES,2018,Age groups,18–64 years,18–64 years,25499,39.3
MADERA,2018,Age groups,18–64 years,18–64 years,270,29.3
MARIN,2018,Age groups,18–64 years,18–64 years,313,21.6
MARIPOSA,2018,Age groups,18–64 years,18–64 years,49,56.5
MENDOCINO,2018,Age groups,18–64 years,18–64 years,304,62.3
MERCED,2018,Age groups,18–64 years,18–64 years,943,56.1
MODOC,2018,Age groups,18–64 years,18–64 years,48,95.7
MONO,2018,Age groups,18–64 years,18–64 years,47,62
MONTEREY,2018,Age groups,18–64 years,18–64 years,940,34.8
NAPA,2018,Age groups,18–64 years,18–64 years,275,31.8
NEVADA,2018,Age groups,18–64 years,18–64 years,136,26.4
ORANGE,2018,Age groups,18–64 years,18–64 years,4286,21.5
PLACER,2018,Age groups,18–64 years,18–64 years,728,33
PLUMAS,2018,Age groups,18–64 years,18–64 years,49,54
RIVERSIDE,2018,Age groups,18–64 years,18–64 years,5058,35
SACRAMENTO,2018,Age groups,18–64 years,18–64 years,6157,65.6
SAN BENITO,2018,Age groups,18–64 years,18–64 years,175,50.5
SAN BERNARDINO,2018,Age groups,18–64 years,18–64 years,5971,44.8
SAN DIEGO,2018,Age groups,18–64 years,18–64 years,5006,24.7
SAN FRANCISCO,2018,Age groups,18–64 years,18–64 years,1613,27
SAN JOAQUIN,2018,Age groups,18–64 years,18–64 years,2777,61.7
SAN LUIS OBISPO,2018,Age groups,18–64 years,18–64 years,412,26.4
SAN MATEO,2018,Age groups,18–64 years,18–64 years,1121,23.5
SANTA BARBARA,2018,Age groups,18–64 years,18–64 years,660,23.5
SANTA CLARA,2018,Age groups,18–64 years,18–64 years,3009,24.5
SANTA CRUZ,2018,Age groups,18–64 years,18–64 years,437,26.9
SHASTA,2018,Age groups,18–64 years,18–64 years,390,40.5
SIERRA,2018,Age groups,18–64 years,18–64 years,NA,NA
SISKIYOU,2018,Age groups,18–64 years,18–64 years,86,35.8
SOLANO,2018,Age groups,18–64 years,18–64 years,2021,77.5
SONOMA,2018,Age groups,18–64 years,18–64 years,1057,36
STANISLAUS,2018,Age groups,18–64 years,18–64 years,1657,50.1
SUTTER,2018,Age groups,18–64 years,18–64 years,173,29
TEHAMA,2018,Age groups,18–64 years,18–64 years,176,49.6
TRINITY,2018,Age groups,18–64 years,18–64 years,33,53
TULARE,2018,Age groups,18–64 years,18–64 years,738,26.5
TUOLUMNE,2018,Age groups,18–64 years,18–64 years,134,48.4
VENTURA,2018,Age groups,18–64 years,18–64 years,1320,26
YOLO,2018,Age groups,18–64 years,18–64 years,464,35.6
YUBA,2018,Age groups,18–64 years,18–64 years,203,44.2
CALIFORNIA,2018,Age groups,65+ years,65+ years,12730,21.6
ALAMEDA,2018,Age groups,65+ years,65+ years,735,30.6
ALPINE,2018,Age groups,65+ years,65+ years,0,0
AMADOR,2018,Age groups,65+ years,65+ years,19,19.8
BUTTE,2018,Age groups,65+ years,65+ years,77,17.3
CALAVERAS,2018,Age groups,65+ years,65+ years,16,12.6
COLUSA,2018,Age groups,65+ years,65+ years,NA,NA
CONTRA COSTA,2018,Age groups,65+ years,65+ years,541,28.4
DEL NORTE,2018,Age groups,65+ years,65+ years,NA,NA
EL DORADO,2018,Age groups,65+ years,65+ years,70,17
FRESNO,2018,Age groups,65+ years,65+ years,403,33.1
GLENN,2018,Age groups,65+ years,65+ years,NA,NA
HUMBOLDT,2018,Age groups,65+ years,65+ years,59,24.3
IMPERIAL,2018,Age groups,65+ years,65+ years,69,28.6
INYO,2018,Age groups,65+ years,65+ years,NA,NA
KERN,2018,Age groups,65+ years,65+ years,178,17.2
KINGS,2018,Age groups,65+ years,65+ years,37,24.2
LAKE,2018,Age groups,65+ years,65+ years,53,34.6
LASSEN,2018,Age groups,65+ years,65+ years,11,NA
LOS ANGELES,2018,Age groups,65+ years,65+ years,3433,23.5
MADERA,2018,Age groups,65+ years,65+ years,57,24.9
MARIN,2018,Age groups,65+ years,65+ years,102,17.3
MARIPOSA,2018,Age groups,65+ years,65+ years,NA,NA
MENDOCINO,2018,Age groups,65+ years,65+ years,50,26.8
MERCED,2018,Age groups,65+ years,65+ years,90,28.3
MODOC,2018,Age groups,65+ years,65+ years,NA,NA
MONO,2018,Age groups,65+ years,65+ years,0,0
MONTEREY,2018,Age groups,65+ years,65+ years,105,17.5
NAPA,2018,Age groups,65+ years,65+ years,79,29.4
NEVADA,2018,Age groups,65+ years,65+ years,32,11.6
ORANGE,2018,Age groups,65+ years,65+ years,790,16.4
PLACER,2018,Age groups,65+ years,65+ years,117,14.9
PLUMAS,2018,Age groups,65+ years,65+ years,15,26
RIVERSIDE,2018,Age groups,65+ years,65+ years,568,15.7
SACRAMENTO,2018,Age groups,65+ years,65+ years,652,30.4
SAN BENITO,2018,Age groups,65+ years,65+ years,35,45.9
SAN BERNARDINO,2018,Age groups,65+ years,65+ years,566,21.9
SAN DIEGO,2018,Age groups,65+ years,65+ years,786,15.8
SAN FRANCISCO,2018,Age groups,65+ years,65+ years,319,21.7
SAN JOAQUIN,2018,Age groups,65+ years,65+ years,264,27.3
SAN LUIS OBISPO,2018,Age groups,65+ years,65+ years,82,14
SAN MATEO,2018,Age groups,65+ years,65+ years,270,20.1
SANTA BARBARA,2018,Age groups,65+ years,65+ years,120,16.7
SANTA CLARA,2018,Age groups,65+ years,65+ years,586,21
SANTA CRUZ,2018,Age groups,65+ years,65+ years,76,18
SHASTA,2018,Age groups,65+ years,65+ years,38,10.3
SIERRA,2018,Age groups,65+ years,65+ years,0,0
SISKIYOU,2018,Age groups,65+ years,65+ years,19,17.4
SOLANO,2018,Age groups,65+ years,65+ years,311,43.1
SONOMA,2018,Age groups,65+ years,65+ years,223,22.2
STANISLAUS,2018,Age groups,65+ years,65+ years,173,23.4
SUTTER,2018,Age groups,65+ years,65+ years,14,9.4
TEHAMA,2018,Age groups,65+ years,65+ years,17,13.7
TRINITY,2018,Age groups,65+ years,65+ years,NA,NA
TULARE,2018,Age groups,65+ years,65+ years,79,14.1
TUOLUMNE,2018,Age groups,65+ years,65+ years,39,26.2
VENTURA,2018,Age groups,65+ years,65+ years,203,15
YOLO,2018,Age groups,65+ years,65+ years,80,29.2
YUBA,2018,Age groups,65+ years,65+ years,24,24.3
CALIFORNIA,2018,Race/ethnicity,White,All ages,42139,31.6
ALAMEDA,2018,Race/ethnicity,White,All ages,1249,23.9
ALPINE,2018,Race/ethnicity,White,All ages,NA,NA
AMADOR,2018,Race/ethnicity,White,All ages,109,46.7
BUTTE,2018,Race/ethnicity,White,All ages,629,43.4
CALAVERAS,2018,Race/ethnicity,White,All ages,151,54.6
COLUSA,2018,Race/ethnicity,White,All ages,41,65.5
CONTRA COSTA,2018,Race/ethnicity,White,All ages,1449,31.7
DEL NORTE,2018,Race/ethnicity,White,All ages,96,70.8
EL DORADO,2018,Race/ethnicity,White,All ages,422,35
FRESNO,2018,Race/ethnicity,White,All ages,1506,60.6
GLENN,2018,Race/ethnicity,White,All ages,52,40
HUMBOLDT,2018,Race/ethnicity,White,All ages,454,49.4
IMPERIAL,2018,Race/ethnicity,White,All ages,112,62.9
INYO,2018,Race/ethnicity,White,All ages,47,57.6
KERN,2018,Race/ethnicity,White,All ages,1087,39.6
KINGS,2018,Race/ethnicity,White,All ages,267,60.6
LAKE,2018,Race/ethnicity,White,All ages,342,89.3
LASSEN,2018,Race/ethnicity,White,All ages,87,44.5
LOS ANGELES,2018,Race/ethnicity,White,All ages,6859,27.7
MADERA,2018,Race/ethnicity,White,All ages,156,39.2
MARIN,2018,Race/ethnicity,White,All ages,325,19.7
MARIPOSA,2018,Race/ethnicity,White,All ages,61,51.7
MENDOCINO,2018,Race/ethnicity,White,All ages,310,67.9
MERCED,2018,Race/ethnicity,White,All ages,417,62.9
MODOC,2018,Race/ethnicity,White,All ages,41,65.9
MONO,2018,Race/ethnicity,White,All ages,15,21.4
MONTEREY,2018,Race/ethnicity,White,All ages,351,30.7
NAPA,2018,Race/ethnicity,White,All ages,257,38.5
NEVADA,2018,Race/ethnicity,White,All ages,180,26.2
ORANGE,2018,Race/ethnicity,White,All ages,3082,26.5
PLACER,2018,Race/ethnicity,White,All ages,763,30.5
PLUMAS,2018,Race/ethnicity,White,All ages,77,64.6
RIVERSIDE,2018,Race/ethnicity,White,All ages,2588,34.8
SACRAMENTO,2018,Race/ethnicity,White,All ages,2779,43.4
SAN BENITO,2018,Race/ethnicity,White,All ages,83,48.6
SAN BERNARDINO,2018,Race/ethnicity,White,All ages,2399,44.5
SAN DIEGO,2018,Race/ethnicity,White,All ages,2840,20
SAN FRANCISCO,2018,Race/ethnicity,White,All ages,649,19.4
SAN JOAQUIN,2018,Race/ethnicity,White,All ages,1052,50.7
SAN LUIS OBISPO,2018,Race/ethnicity,White,All ages,413,26.4
SAN MATEO,2018,Race/ethnicity,White,All ages,545,18.8
SANTA BARBARA,2018,Race/ethnicity,White,All ages,421,25.3
SANTA CLARA,2018,Race/ethnicity,White,All ages,1135,18.8
SANTA CRUZ,2018,Race/ethnicity,White,All ages,380,26.6
SHASTA,2018,Race/ethnicity,White,All ages,453,37.5
SIERRA,2018,Race/ethnicity,White,All ages,12,60.9
SISKIYOU,2018,Race/ethnicity,White,All ages,118,39.8
SOLANO,2018,Race/ethnicity,White,All ages,891,59.5
SONOMA,2018,Race/ethnicity,White,All ages,955,34.2
STANISLAUS,2018,Race/ethnicity,White,All ages,1078,53.4
SUTTER,2018,Race/ethnicity,White,All ages,133,34.6
TEHAMA,2018,Race/ethnicity,White,All ages,184,49.3
TRINITY,2018,Race/ethnicity,White,All ages,53,73.2
TULARE,2018,Race/ethnicity,White,All ages,283,25.4
TUOLUMNE,2018,Race/ethnicity,White,All ages,181,50.9
VENTURA,2018,Race/ethnicity,White,All ages,912,28.3
YOLO,2018,Race/ethnicity,White,All ages,326,38.1
YUBA,2018,Race/ethnicity,White,All ages,186,45
CALIFORNIA,2018,Race/ethnicity,Black,All ages,33599,155
ALAMEDA,2018,Race/ethnicity,Black,All ages,3091,176.1
ALPINE,2018,Race/ethnicity,Black,All ages,0,0
AMADOR,2018,Race/ethnicity,Black,All ages,NA,NA
BUTTE,2018,Race/ethnicity,Black,All ages,111,297.4
CALAVERAS,2018,Race/ethnicity,Black,All ages,NA,NA
COLUSA,2018,Race/ethnicity,Black,All ages,NA,NA
CONTRA COSTA,2018,Race/ethnicity,Black,All ages,1974,197.7
DEL NORTE,2018,Race/ethnicity,Black,All ages,NA,NA
EL DORADO,2018,Race/ethnicity,Black,All ages,25,196
FRESNO,2018,Race/ethnicity,Black,All ages,865,175.2
GLENN,2018,Race/ethnicity,Black,All ages,NA,NA
HUMBOLDT,2018,Race/ethnicity,Black,All ages,53,378.9
IMPERIAL,2018,Race/ethnicity,Black,All ages,22,79.7
INYO,2018,Race/ethnicity,Black,All ages,NA,NA
KERN,2018,Race/ethnicity,Black,All ages,917,178.1
KINGS,2018,Race/ethnicity,Black,All ages,103,136.6
LAKE,2018,Race/ethnicity,Black,All ages,32,404.9
LASSEN,2018,Race/ethnicity,Black,All ages,NA,NA
LOS ANGELES,2018,Race/ethnicity,Black,All ages,11695,156
MADERA,2018,Race/ethnicity,Black,All ages,59,212.6
MARIN,2018,Race/ethnicity,Black,All ages,66,90.1
MARIPOSA,2018,Race/ethnicity,Black,All ages,0,0
MENDOCINO,2018,Race/ethnicity,Black,All ages,29,483.3
MERCED,2018,Race/ethnicity,Black,All ages,151,165.9
MODOC,2018,Race/ethnicity,Black,All ages,NA,NA
MONO,2018,Race/ethnicity,Black,All ages,0,0
MONTEREY,2018,Race/ethnicity,Black,All ages,83,97.5
NAPA,2018,Race/ethnicity,Black,All ages,21,97.7
NEVADA,2018,Race/ethnicity,Black,All ages,NA,NA
ORANGE,2018,Race/ethnicity,Black,All ages,462,97.1
PLACER,2018,Race/ethnicity,Black,All ages,61,119.4
PLUMAS,2018,Race/ethnicity,Black,All ages,NA,NA
RIVERSIDE,2018,Race/ethnicity,Black,All ages,1742,122.1
SACRAMENTO,2018,Race/ethnicity,Black,All ages,3196,202.6
SAN BENITO,2018,Race/ethnicity,Black,All ages,NA,NA
SAN BERNARDINO,2018,Race/ethnicity,Black,All ages,2370,122.7
SAN DIEGO,2018,Race/ethnicity,Black,All ages,1486,99.9
SAN FRANCISCO,2018,Race/ethnicity,Black,All ages,896,227.6
SAN JOAQUIN,2018,Race/ethnicity,Black,All ages,1152,207.8
SAN LUIS OBISPO,2018,Race/ethnicity,Black,All ages,45,101
SAN MATEO,2018,Race/ethnicity,Black,All ages,151,86.3
SANTA BARBARA,2018,Race/ethnicity,Black,All ages,80,113.3
SANTA CLARA,2018,Race/ethnicity,Black,All ages,457,101.7
SANTA CRUZ,2018,Race/ethnicity,Black,All ages,24,117.4
SHASTA,2018,Race/ethnicity,Black,All ages,30,174.6
SIERRA,2018,Race/ethnicity,Black,All ages,0,0
SISKIYOU,2018,Race/ethnicity,Black,All ages,NA,NA
SOLANO,2018,Race/ethnicity,Black,All ages,1275,219.9
SONOMA,2018,Race/ethnicity,Black,All ages,89,124
STANISLAUS,2018,Race/ethnicity,Black,All ages,302,198
SUTTER,2018,Race/ethnicity,Black,All ages,26,137.3
TEHAMA,2018,Race/ethnicity,Black,All ages,NA,NA
TRINITY,2018,Race/ethnicity,Black,All ages,0,0
TULARE,2018,Race/ethnicity,Black,All ages,59,99.7
TUOLUMNE,2018,Race/ethnicity,Black,All ages,NA,NA
VENTURA,2018,Race/ethnicity,Black,All ages,130,105.7
YOLO,2018,Race/ethnicity,Black,All ages,77,151.3
YUBA,2018,Race/ethnicity,Black,All ages,57,242.3
CALIFORNIA,2018,Race/ethnicity,Hispanic,All ages,68760,41.6
ALAMEDA,2018,Race/ethnicity,Hispanic,All ages,1783,45.1
ALPINE,2018,Race/ethnicity,Hispanic,All ages,0,0
AMADOR,2018,Race/ethnicity,Hispanic,All ages,17,36.7
BUTTE,2018,Race/ethnicity,Hispanic,All ages,78,18.5
CALAVERAS,2018,Race/ethnicity,Hispanic,All ages,13,23.7
COLUSA,2018,Race/ethnicity,Hispanic,All ages,69,46.2
CONTRA COSTA,2018,Race/ethnicity,Hispanic,All ages,1769,57.2
DEL NORTE,2018,Race/ethnicity,Hispanic,All ages,16,27.7
EL DORADO,2018,Race/ethnicity,Hispanic,All ages,83,31.4
FRESNO,2018,Race/ethnicity,Hispanic,All ages,4144,69.7
GLENN,2018,Race/ethnicity,Hispanic,All ages,23,19.7
HUMBOLDT,2018,Race/ethnicity,Hispanic,All ages,60,36.1
IMPERIAL,2018,Race/ethnicity,Hispanic,All ages,995,57.9
INYO,2018,Race/ethnicity,Hispanic,All ages,21,41.6
KERN,2018,Race/ethnicity,Hispanic,All ages,2090,40
KINGS,2018,Race/ethnicity,Hispanic,All ages,435,47.6
LAKE,2018,Race/ethnicity,Hispanic,All ages,94,75.6
LASSEN,2018,Race/ethnicity,Hispanic,All ages,11,NA
LOS ANGELES,2018,Race/ethnicity,Hispanic,All ages,23665,46
MADERA,2018,Race/ethnicity,Hispanic,All ages,574,54.7
MARIN,2018,Race/ethnicity,Hispanic,All ages,150,35.4
MARIPOSA,2018,Race/ethnicity,Hispanic,All ages,NA,NA
MENDOCINO,2018,Race/ethnicity,Hispanic,All ages,125,53.5
MERCED,2018,Race/ethnicity,Hispanic,All ages,1058,60.1
MODOC,2018,Race/ethnicity,Hispanic,All ages,NA,NA
MONO,2018,Race/ethnicity,Hispanic,All ages,25,58.4
MONTEREY,2018,Race/ethnicity,Hispanic,All ages,1041,36.9
NAPA,2018,Race/ethnicity,Hispanic,All ages,186,36.6
NEVADA,2018,Race/ethnicity,Hispanic,All ages,25,26.4
ORANGE,2018,Race/ethnicity,Hispanic,All ages,3368,28.2
PLACER,2018,Race/ethnicity,Hispanic,All ages,212,38.2
